dataset,train,md=1,md=2,md=3,md=4,md=5,md=6,md=7,md=8,md=9,md=10
cnn_vgg19_128_avg.csv,10-fold CV,0.6375,0.6050000000000001,0.6499999999999999,0.6325000000000001,0.6375,0.6325000000000001,0.6174999999999999,0.62,0.615,0.6224999999999999
cnn_vgg19_128_max.csv,10-fold CV,0.635,0.6675000000000001,0.6675,0.67,0.6725,0.6900000000000001,0.695,0.6925,0.6725000000000001,0.6675
hog_128_20.csv,10-fold CV,0.5850000000000001,0.6075,0.6599999999999999,0.6599999999999999,0.68,0.6699999999999999,0.6599999999999999,0.6649999999999999,0.6649999999999999,0.6775
hog_256_16.csv,10-fold CV,0.6225,0.5925,0.605,0.5850000000000001,0.6174999999999999,0.595,0.5925,0.5974999999999999,0.6075,0.5999999999999999
cnn_vgg19_256_max.csv,10-fold CV,0.5625,0.62,0.6025,0.6275,0.6325000000000001,0.6199999999999999,0.6149999999999999,0.6225,0.6224999999999999,0.63
cnn_vgg16_128_avg.csv,10-fold CV,0.7000000000000001,0.6575,0.7,0.6749999999999999,0.7025,0.6775,0.6575,0.6675,0.6824999999999999,0.67
hog_128_16.csv,10-fold CV,0.5525,0.625,0.6275000000000001,0.6425,0.6475,0.6475000000000002,0.6224999999999998,0.6300000000000001,0.635,0.635
hog_256_20.csv,10-fold CV,0.5475000000000001,0.5450000000000002,0.5625,0.5700000000000001,0.6024999999999999,0.6075,0.595,0.6024999999999999,0.6074999999999999,0.6074999999999999
cnn_vgg16_256_max.csv,10-fold CV,0.6050000000000001,0.5875,0.5774999999999999,0.5774999999999999,0.5750000000000001,0.5675,0.5525,0.5650000000000002,0.5675,0.5725
cnn_vgg16_128_max.csv,10-fold CV,0.6775,0.6575000000000001,0.665,0.6824999999999999,0.6924999999999999,0.6825,0.6575,0.645,0.6349999999999999,0.6375
cnn_vgg19_256_avg.csv,10-fold CV,0.635,0.6725,0.655,0.6525,0.64,0.6174999999999999,0.6025,0.5925,0.62,0.6024999999999999
cnn_vgg16_256_avg.csv,10-fold CV,0.725,0.7300000000000001,0.705,0.6825000000000001,0.6900000000000001,0.6674999999999999,0.655,0.655,0.6725,0.6675
