dataset,train,md=1,md=2,md=3,md=4,md=5,md=6,md=7,md=8,md=9,md=10
cnn_vgg19_128_avg.csv,10-fold CV,0.6799999999999999,0.7174999999999999,0.695,0.7125,0.72,0.6925000000000001,0.685,0.6825,0.655,0.6625
cnn_vgg19_128_max.csv,10-fold CV,0.67,0.6825000000000001,0.7225,0.6875,0.6325000000000001,0.6375,0.6225,0.6224999999999999,0.6375,0.6275
hog_128_20.csv,10-fold CV,0.6225,0.6425,0.7,0.6775,0.72,0.7224999999999999,0.7099999999999999,0.71,0.7325,0.725
hog_256_16.csv,10-fold CV,0.565,0.6475,0.7050000000000001,0.7050000000000001,0.715,0.7150000000000001,0.7124999999999999,0.735,0.7375,0.72
cnn_vgg19_256_max.csv,10-fold CV,0.645,0.6325000000000001,0.6375,0.6325000000000001,0.6199999999999999,0.5750000000000001,0.595,0.595,0.5974999999999999,0.5925
cnn_vgg16_128_avg.csv,10-fold CV,0.6925,0.6849999999999999,0.6625,0.665,0.6725,0.6575,0.645,0.655,0.65,0.65
hog_128_16.csv,10-fold CV,0.725,0.7499999999999999,0.76,0.745,0.7474999999999999,0.7425,0.73,0.725,0.72,0.73
hog_256_20.csv,10-fold CV,0.715,0.6900000000000001,0.6975,0.6675,0.6900000000000001,0.6925000000000001,0.68,0.6875,0.6950000000000001,0.6875000000000001
cnn_vgg16_256_max.csv,10-fold CV,0.5375000000000001,0.58,0.55,0.5575,0.56,0.5599999999999999,0.5725,0.5725,0.5700000000000001,0.5874999999999999
cnn_vgg16_128_max.csv,10-fold CV,0.695,0.6925,0.6825,0.6699999999999999,0.6625000000000001,0.6725000000000001,0.6675000000000001,0.6775000000000001,0.68,0.665
cnn_vgg19_256_avg.csv,10-fold CV,0.5425,0.595,0.5999999999999999,0.63,0.585,0.5874999999999999,0.5725,0.5725,0.5650000000000001,0.565
cnn_vgg16_256_avg.csv,10-fold CV,0.5825,0.5725,0.6449999999999999,0.6300000000000001,0.6449999999999999,0.6275,0.6174999999999999,0.6225,0.6275000000000001,0.6275000000000001
