dataset,train,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10
cnn_vgg19_128_avg.csv,10-fold CV,0.57375,0.5675,0.6112500000000001,0.6137499999999999,0.6224999999999999,0.6249999999999999,0.635,0.6275000000000001,0.625,0.62625
cnn_vgg19_128_max.csv,10-fold CV,0.5862499999999999,0.58,0.6225,0.6350000000000001,0.62375,0.62875,0.62625,0.62,0.6325000000000001,0.6187499999999999
hog_128_20.csv,10-fold CV,0.625,0.6099999999999999,0.62125,0.6312500000000001,0.6187499999999999,0.63375,0.62625,0.635,0.6,0.6199999999999999
hog_256_16.csv,10-fold CV,0.57625,0.6125,0.57625,0.5937500000000001,0.5574999999999999,0.59375,0.5675,0.5825,0.5450000000000002,0.5599999999999999
cnn_vgg19_256_max.csv,10-fold CV,0.54125,0.55,0.55,0.5575,0.5875,0.5774999999999999,0.60125,0.59375,0.5962500000000001,0.5962500000000001
cnn_vgg16_128_avg.csv,10-fold CV,0.58125,0.6024999999999999,0.6012500000000001,0.6125,0.61125,0.6212500000000001,0.6025,0.6174999999999999,0.61,0.6287499999999999
hog_128_16.csv,10-fold CV,0.625,0.59875,0.5937499999999999,0.60625,0.5887499999999999,0.58875,0.57625,0.5825,0.56375,0.585
hog_256_20.csv,10-fold CV,0.595,0.6125,0.5737500000000001,0.6049999999999999,0.56875,0.5950000000000001,0.57375,0.58375,0.5574999999999999,0.5775
cnn_vgg16_256_max.csv,10-fold CV,0.55375,0.54,0.5574999999999999,0.5587500000000001,0.56375,0.5575,0.5712499999999999,0.5662499999999999,0.56125,0.57125
cnn_vgg16_128_max.csv,10-fold CV,0.5700000000000001,0.58375,0.58125,0.60875,0.6075,0.6,0.595,0.6174999999999999,0.6124999999999999,0.63125
cnn_vgg19_256_avg.csv,10-fold CV,0.5762499999999999,0.5725,0.595,0.5900000000000001,0.5987500000000001,0.59125,0.6012500000000001,0.6074999999999999,0.5900000000000001,0.58375
cnn_vgg16_256_avg.csv,10-fold CV,0.55875,0.5650000000000001,0.5937500000000001,0.60375,0.6012500000000001,0.6287499999999999,0.6162500000000001,0.6212500000000001,0.6037500000000001,0.6125
