dataset,train,gaussian,multinomial,complement
cnn_vgg19_128_avg.csv,10-fold CV,0.6975,0.52,0.5574999999999999
cnn_vgg19_128_max.csv,10-fold CV,0.6725,0.67,0.7
hog_128_20.csv,10-fold CV,0.76,0.775,0.7775000000000001
hog_256_16.csv,10-fold CV,0.7775,0.7825,0.7825
cnn_vgg19_256_max.csv,10-fold CV,0.5975,0.47750000000000004,0.47750000000000004
cnn_vgg16_128_avg.csv,10-fold CV,0.6725,0.55,0.59
hog_128_16.csv,10-fold CV,0.7825,0.795,0.7925000000000001
hog_256_20.csv,10-fold CV,0.765,0.7749999999999999,0.7775
cnn_vgg16_256_max.csv,10-fold CV,0.48500000000000004,0.595,0.6025
cnn_vgg16_128_max.csv,10-fold CV,0.6849999999999999,0.6725000000000001,0.6799999999999999
cnn_vgg19_256_avg.csv,10-fold CV,0.65,0.445,0.4525
cnn_vgg16_256_avg.csv,10-fold CV,0.6025,0.4600000000000001,0.47000000000000003
