dataset,train,gaussian,multinomial,complement
cnn_vgg19_128_avg.csv,70/30,0.5583333333333333,0.7166666666666667,0.7166666666666667
cnn_vgg19_128_max.csv,70/30,0.575,0.7,0.7
hog_128_20.csv,70/30,0.7166666666666667,0.75,0.75
hog_256_16.csv,70/30,0.7416666666666667,0.7583333333333333,0.7583333333333333
cnn_vgg19_256_max.csv,70/30,0.55,0.6666666666666666,0.6666666666666666
cnn_vgg16_128_avg.csv,70/30,0.625,0.6583333333333333,0.6583333333333333
hog_128_16.csv,70/30,0.775,0.7916666666666666,0.7916666666666666
hog_256_20.csv,70/30,0.7166666666666667,0.7583333333333333,0.7583333333333333
cnn_vgg16_256_max.csv,70/30,0.6,0.6833333333333333,0.6833333333333333
cnn_vgg16_128_max.csv,70/30,0.525,0.6833333333333333,0.6833333333333333
cnn_vgg19_256_avg.csv,70/30,0.5833333333333334,0.575,0.575
cnn_vgg16_256_avg.csv,70/30,0.6583333333333333,0.725,0.725
